FactorRank,Team,EFG,OPPEFG,TOVPCT,OPPTOV,ORB,DRB,OPPORB,OPPDRB,FTR,OPPFTR,EFGTOTAL,TOVTOTAL,REBSUM,OPPREBSUM,REBTOTAL,FTRTOTAL,Dec,FourFactors
33,W Virginia,47.10%,41.10%,19.30%,19.20%,35.80%,74.10%,25.90%,64.20%,0.408,0.354,0.024,0.00025,109.90%,90.10%,0.0396,0.0081,0.07145,7.145
34,Texas Tech,51.20%,45.80%,19.00%,22.20%,27.50%,80.80%,19.20%,72.50%,0.359,0.313,0.0216,-0.008,108.30%,91.70%,0.0332,0.0069,0.0697,6.97
35,Georgia,54.20%,51.00%,17.90%,19.90%,34.20%,75.80%,24.20%,65.80%,0.382,0.307,0.0128,-0.005,110.00%,90.00%,0.04,0.01125,0.06905,6.905
36,UCLA,49.80%,51.80%,18.00%,20.00%,36.00%,78.90%,21.10%,64.00%,0.43,0.354,-0.008,-0.005,114.90%,85.10%,0.0596,0.0114,0.068,6.8
37,TX Christian,50.50%,48.50%,17.90%,24.50%,32.10%,81.60%,18.40%,67.90%,0.234,0.312,0.008,-0.0165,113.70%,86.30%,0.0548,-0.0117,0.0676,6.76
38,Oregon St,56.00%,44.30%,15.10%,17.70%,26.40%,72.20%,27.80%,73.60%,0.365,0.243,0.0468,-0.0065,98.60%,101.40%,-0.0056,0.0183,0.066,6.6
39,Wichita St,48.60%,43.80%,15.90%,23.50%,32.10%,76.50%,23.50%,67.90%,0.311,0.355,0.0192,-0.019,108.60%,91.40%,0.0344,-0.0066,0.066,6.6
40,Oregon,54.70%,43.90%,16.10%,17.40%,34.20%,68.60%,31.40%,65.80%,0.323,0.268,0.0432,-0.00325,102.80%,97.20%,0.0112,0.00825,0.0659,6.59
41,E Tenn St,56.20%,50.10%,20.30%,20.30%,34.00%,74.80%,25.20%,66.00%,0.392,0.351,0.0244,0,108.80%,91.20%,0.0352,0.00615,0.06575,6.575
42,Cincinnati,50.00%,45.10%,21.00%,18.70%,30.10%,75.60%,24.40%,69.90%,0.47,0.278,0.0196,0.00575,105.70%,94.30%,0.0228,0.0288,0.06545,6.545
43,Dayton,63.50%,51.60%,17.70%,20.30%,29.10%,76.20%,23.80%,70.90%,0.276,0.342,0.0476,-0.0065,105.30%,94.70%,0.0212,-0.0099,0.0654,6.54
44,New Mexico,52.30%,50.10%,20.20%,18.80%,30.50%,76.40%,23.60%,69.50%,0.439,0.223,0.0088,0.0035,106.90%,93.10%,0.0276,0.0324,0.0653,6.53
45,Colorado,47.00%,46.50%,20.80%,24.70%,30.10%,77.40%,22.60%,69.90%,0.412,0.255,0.002,-0.00975,107.50%,92.50%,0.03,0.02355,0.0653,6.53
46,Penn State,51.20%,45.20%,16.90%,21.60%,32.10%,76.40%,23.60%,67.90%,0.322,0.36,0.024,-0.01175,108.50%,91.50%,0.034,-0.0057,0.06405,6.405
47,Rider,52.00%,46.40%,20.40%,15.00%,28.60%,78.50%,21.50%,71.40%,0.428,0.265,0.0224,0.0135,107.10%,92.90%,0.0284,0.02445,0.06175,6.175
48,Iowa,51.20%,49.70%,13.00%,17.10%,31.90%,75.50%,24.50%,68.10%,0.362,0.259,0.006,-0.01025,107.40%,92.60%,0.0296,0.01545,0.0613,6.13
49,Virginia,44.20%,38.20%,20.10%,21.90%,26.40%,79.90%,20.10%,73.60%,0.229,0.187,0.024,-0.0045,106.30%,93.70%,0.0252,0.0063,0.06,6
50,Florida St,51.90%,43.70%,19.00%,25.60%,31.70%,71.90%,28.10%,68.30%,0.373,0.402,0.0328,-0.0165,103.60%,96.40%,0.0144,-0.00435,0.05935,5.935
51,Vanderbilt,57.00%,47.70%,18.00%,20.20%,29.90%,74.30%,25.70%,70.10%,0.362,0.368,0.0372,-0.0055,104.20%,95.80%,0.0168,-0.0009,0.0586,5.86
52,USC,49.80%,45.90%,19.20%,17.90%,30.50%,76.20%,23.80%,69.50%,0.385,0.257,0.0156,0.00325,106.70%,93.30%,0.0268,0.0192,0.05835,5.835
